,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
75,0.8301428571428572,0.8145714285714286,0.769,0.8251428571428572,0.8112857142857143,0.8347142857142857,0.7854285714285715,0.8285714285714286,0.8217142857142857,0.8378571428571429,0.8552857142857143,0.7741428571428571,0.7491428571428571,0.8271428571428572,0.8297142857142857,0.8378571428571429,0.8032857142857143,0.8538571428571429,0.8235714285714286,0.8485714285714285,0.8412857142857143,0.8321428571428572,0.8307142857142857,0.7838571428571428,0.8218571428571428,0.8468571428571429,0.8695714285714286,0.8337142857142857,0.8215714285714286,0.8462857142857143,0.8138571428571428,0.8347142857142857,0.8432857142857143,0.8498571428571429,0.8427142857142857,0.8191428571428572,0.807,0.845,0.8358571428571429,0.8355714285714285,0.8012857142857143,0.8282857142857143,0.8511428571428571,0.81,0.8137142857142857,0.803,0.8182857142857143,0.8097142857142857,0.7951428571428572,0.776
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.8338571428571429,0.8241428571428572,0.8377142857142857,0.8321428571428572,0.8024285714285714,0.8514285714285714,0.7847142857142857,0.8392857142857143,0.8142857142857143,0.8485714285714285,0.8592857142857143,0.806,0.8078571428571428,0.8235714285714286,0.8318571428571429,0.8641428571428571,0.8282857142857143,0.8575714285714285,0.834,0.8671428571428571,0.8451428571428572,0.8365714285714285,0.8411428571428572,0.7735714285714286,0.8288571428571428,0.8591428571428571,0.872,0.8354285714285714,0.8177142857142857,0.8501428571428571,0.8167142857142857,0.8138571428571428,0.8441428571428572,0.8592857142857143,0.839,0.7822857142857143,0.829,0.849,0.8537142857142858,0.8358571428571429,0.807,0.8468571428571429,0.8535714285714285,0.791,0.8292857142857143,0.817,0.8184285714285714,0.8365714285714285,0.8008571428571428,0.803
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.8292857142857143,0.8321428571428572,0.8461428571428572,0.8324285714285714,0.808,0.8538571428571429,0.7762857142857142,0.8395714285714285,0.8218571428571428,0.8545714285714285,0.8572857142857143,0.7922857142857143,0.827,0.832,0.8445714285714285,0.8591428571428571,0.838,0.8632857142857143,0.8334285714285714,0.8691428571428571,0.8471428571428572,0.839,0.8108571428571428,0.7767142857142857,0.8242857142857143,0.8647142857142858,0.8618571428571429,0.8352857142857143,0.8162857142857143,0.8531428571428571,0.8257142857142857,0.8182857142857143,0.8452857142857143,0.8618571428571429,0.8431428571428572,0.7958571428571428,0.8315714285714285,0.85,0.845,0.841,0.8287142857142857,0.8307142857142857,0.8577142857142858,0.7925714285714286,0.8328571428571429,0.8168571428571428,0.8222857142857143,0.859,0.8061428571428572,0.8165714285714286
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.8414285714285714,0.8335714285714285,0.8551428571428571,0.8335714285714285,0.8175714285714286,0.8604285714285714,0.811,0.8405714285714285,0.8281428571428572,0.8577142857142858,0.8557142857142858,0.82,0.794,0.8381428571428572,0.8241428571428572,0.8607142857142858,0.8387142857142857,0.86,0.8241428571428572,0.8695714285714286,0.8482857142857143,0.846,0.8388571428571429,0.738,0.8324285714285714,0.8702857142857143,0.8842857142857142,0.8495714285714285,0.8167142857142857,0.8534285714285714,0.8354285714285714,0.8212857142857143,0.8455714285714285,0.8637142857142858,0.8454285714285714,0.8342857142857143,0.8327142857142857,0.8547142857142858,0.8494285714285714,0.8641428571428571,0.8361428571428572,0.8451428571428572,0.8584285714285714,0.7881428571428571,0.8452857142857143,0.8172857142857143,0.826,0.8657142857142858,0.7828571428571428,0.8208571428571428
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.8547142857142858,0.8374285714285714,0.8454285714285714,0.8604285714285714,0.8225714285714286,0.8571428571428571,0.8118571428571428,0.8437142857142857,0.8337142857142857,0.8612857142857143,0.8547142857142858,0.7905714285714286,0.8271428571428572,0.8462857142857143,0.8358571428571429,0.8617142857142858,0.8368571428571429,0.8617142857142858,0.8268571428571428,0.8698571428571429,0.8475714285714285,0.8334285714285714,0.8438571428571429,0.7818571428571428,0.8434285714285714,0.8658571428571429,0.885,0.8497142857142858,0.8241428571428572,0.8518571428571429,0.833,0.822,0.8485714285714285,0.8637142857142858,0.8494285714285714,0.8214285714285714,0.8315714285714285,0.8595714285714285,0.853,0.8655714285714285,0.8352857142857143,0.847,0.87,0.7945714285714286,0.8468571428571429,0.8357142857142857,0.8278571428571428,0.865,0.8302857142857143,0.8221428571428572
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.8581428571428571,0.8368571428571429,0.8574285714285714,0.8598571428571429,0.8231428571428572,0.8642857142857143,0.827,0.846,0.8331428571428572,0.8574285714285714,0.8432857142857143,0.8565714285714285,0.8294285714285714,0.8481428571428572,0.8388571428571429,0.8592857142857143,0.8244285714285714,0.8648571428571429,0.8344285714285714,0.8662857142857143,0.86,0.8527142857142858,0.8472857142857143,0.7705714285714286,0.8492857142857143,0.8637142857142858,0.8815714285714286,0.8592857142857143,0.8231428571428572,0.8558571428571429,0.85,0.8201428571428572,0.8544285714285714,0.8644285714285714,0.8507142857142858,0.8307142857142857,0.831,0.8572857142857143,0.8448571428571429,0.8681428571428571,0.84,0.8551428571428571,0.873,0.8082857142857143,0.8565714285714285,0.821,0.8207142857142857,0.8701428571428571,0.8384285714285714,0.8124285714285714
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.8581428571428571,0.8408571428571429,0.8667142857142857,0.8598571428571429,0.85,0.8505714285714285,0.8318571428571429,0.847,0.8341428571428572,0.8462857142857143,0.8595714285714285,0.8575714285714285,0.8298571428571428,0.8471428571428572,0.8438571428571429,0.8538571428571429,0.8242857142857143,0.867,0.825,0.8728571428571429,0.8621428571428571,0.8522857142857143,0.8494285714285714,0.8111428571428572,0.8462857142857143,0.8734285714285714,0.8841428571428571,0.881,0.8342857142857143,0.8597142857142858,0.8632857142857143,0.8152857142857143,0.8647142857142858,0.8645714285714285,0.8598571428571429,0.8402857142857143,0.833,0.8558571428571429,0.8568571428571429,0.8717142857142857,0.8398571428571429,0.8574285714285714,0.8712857142857143,0.8128571428571428,0.866,0.318,0.8288571428571428,0.8685714285714285,0.8448571428571429,0.8195714285714286
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
