,0,1,2
391,0.9775,0.9625,0.9725
392,0.9675,0.9625,0.97
393,0.975,0.965,0.97
394,0.965,0.965,0.9725
395,0.9675,0.965,0.98
396,0.9725,0.9675,0.9725
397,0.9675,0.965,0.9725
398,0.97,0.9625,0.9725
399,0.975,0.965,0.98
400,0.97,0.96,0.9725
