,0,1,2,3,4,5
835,,,,,,
836,,,,,,
837,,,,,,
838,,,,,,
839,,,,,,
840,15.94052505493164,15.783343315124512,15.66908073425293,16.40939235687256,14.853614807128906,16.265893697738647
841,,,,,,
842,,,,,,
843,,,,,,
844,,,,,,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,,,,,,
854,,,,,,
855,,,,,,
856,,,,,,
857,,,,,,
858,,,,,,
859,,,,,,
860,15.471436023712158,15.447128772735596,15.59531283378601,16.365662574768066,14.628225803375244,15.688210010528564
861,,,,,,
862,,,,,,
863,,,,,,
864,,,,,,
865,,,,,,
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,
870,,,,,,
871,,,,,,
872,,,,,,
873,,,,,,
874,,,,,,
875,,,,,,
876,,,,,,
877,,,,,,
878,,,,,,
879,,,,,,
880,14.515546798706056,15.26441478729248,15.24870777130127,16.531652212142944,15.290262699127195,15.64677619934082
881,,,,,,
882,,,,,,
883,,,,,,
884,,,,,,
885,,,,,,
886,,,,,,
887,,,,,,
888,,,,,,
889,,,,,,
890,,,,,,
891,,,,,,
892,,,,,,
893,,,,,,
894,,,,,,
895,,,,,,
896,,,,,,
897,,,,,,
898,,,,,,
899,,,,,,
900,15.60683012008667,15.604844331741331,15.280654668807983,16.823806047439575,14.90500807762146,16.4593403339386
901,,,,,,
902,,,,,,
903,,,,,,
904,,,,,,
905,,,,,,
906,,,,,,
907,,,,,,
908,,,,,,
909,,,,,,
910,,,,,,
911,,,,,,
912,,,,,,
913,,,,,,
914,,,,,,
915,,,,,,
916,,,,,,
917,,,,,,
918,,,,,,
919,,,,,,
920,17.235780477523804,16.00554060935974,15.106273889541626,17.501071453094482,15.738865852355955,16.696173429489136
921,,,,,,
922,,,,,,
923,,,,,,
924,,,,,,
925,,,,,,
926,,,,,,
927,,,,,,
928,,,,,,
929,,,,,,
930,,,,,,
931,,,,,,
932,,,,,,
933,,,,,,
934,,,,,,
935,,,,,,
936,,,,,,
937,,,,,,
938,,,,,,
939,,,,,,
940,15.844658851623535,15.292090654373167,15.298181533813477,15.949179649353027,14.915622472763062,14.956629037857056
941,,,,,,
942,,,,,,
943,,,,,,
