,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
78,,,,,0.6686,,,,,,,,,,,,,0.627,,,,,0.6122,,,,0.5772
79,,,,,0.6516,,,,,,,,,,,,,0.6448,,,,,0.6084,,,,0.6046
80,,,,,0.6914,,,,,,,,,,,,,0.6456,,,,,0.604,,,,0.6138
81,,,,,0.705,,,,,,,,,,,,,0.6612,,,,,0.6294,,,,0.6146
82,,,,,0.7274,,,,,,,,,,,,,0.6756,,,,,0.562,,,,0.5932
83,,,,,0.6692,,,,,,,,,,,,,0.6464,,,,,0.609,,,,0.5904
84,,,,,0.703,,,,,,,,,,,,,0.6296,,,,,0.6292,,,,0.5418
85,,,,,0.7176,,,,,,,,,,,,,0.6244,,,,,0.5684,,,,0.6104
86,,,,,0.7124,,,,,,,,,,,,,0.5752,,,,,0.5732,,,,0.6228
87,,,,,0.7002,,,,,,,,,,,,,0.5242,,,,,0.5508,,,,0.6378
88,,,,,0.6284,,,,,,,,,,,,,0.6828,,,,,0.6502,,,,0.6414
89,,,,,0.6908,,,,,,,,,,,,,0.6672,,,,,0.6996,,,,0.6508
90,,,,,0.7128,,,,,,,,,,,,,0.6756,,,,,0.697,,,,0.693
91,,,,,0.7116,,,,,,,,,,,,,0.6454,,,,,0.6934,,,,0.6814
92,,,,,0.713,,,,,,,,,,,,,0.6444,,,,,0.699,,,,0.6166
93,,,,,0.7132,,,,,,,,,,,,,0.6452,,,,,0.6106,,,,0.545
94,,,,,0.6426,,,,,,,,,,,,,0.6544,,,,,0.7168,,,,0.656
95,,,,,0.404,,,,,,,,,,,,,0.5538,,,,,0.6962,,,,0.6296
96,,,,,0.7054,,,,,,,,,,,,,0.6924,,,,,0.6968,,,,0.7408
97,,,,,0.7132,,,,,,,,,,,,,0.6942,,,,,0.6232,,,,0.7334
98,,,,,0.717,,,,,,,,,,,,,0.6872,,,,,0.7042,,,,0.7362
99,,,,,0.7122,,,,,,,,,,,,,0.5448,,,,,0.6908,,,,0.6292
100,,,,,0.6902,,,,,,,,,,,,,0.6002,,,,,0.6694,,,,0.7328
101,,,,,0.6648,,,,,,,,,,,,,0.6468,,,,,0.6486,,,,0.7348
102,,,,,0.7046,,,,,,,,,,,,,0.606,,,,,0.5658,,,,0.6776
103,,,,,0.5786,,,,,,,,,,,,,0.6654,,,,,0.6994,,,,0.7344
104,,,,,0.596,,,,,,,,,,,,,0.6214,,,,,0.7018,,,,0.7398
105,,,,,0.7806,,,,,,,,,,,,,0.631,,,,,0.6294,,,,0.7694
106,,,,,0.7604,,,,,,,,,,,,,0.7058,,,,,0.6532,,,,0.758
107,,,,,0.776,,,,,,,,,,,,,0.6906,,,,,0.7398,,,,0.6268
108,,,,,0.7584,,,,,,,,,,,,,0.6966,,,,,0.7538,,,,0.7744
109,,,,,0.706,,,,,,,,,,,,,0.6058,,,,,0.6954,,,,0.781
110,,,,,0.7098,,,,,,,,,,,,,0.5208,,,,,0.729,,,,0.8058
111,,,,,0.7318,,,,,,,,,,,,,0.7146,,,,,0.7034,,,,0.8058
112,,,,,0.8042,,,,,,,,,,,,,0.5652,,,,,0.7178,,,,0.7838
113,,,,,0.8034,,,,,,,,,,,,,0.6708,,,,,0.7238,,,,0.7824
114,,,,,0.7874,,,,,,,,,,,,,0.6862,,,,,0.5616,,,,0.7638
115,,,,,0.7356,,,,,,,,,,,,,0.6874,,,,,0.691,,,,0.7278
116,,,,,0.8384,,,,,,,,,,,,,0.7,,,,,0.7284,,,,0.7126
117,,,,,0.8392,,,,,,,,,,,,,0.7108,,,,,0.7394,,,,0.6388
118,,,,,0.8344,,,,,,,,,,,,,0.7456,,,,,0.7842,,,,0.7362
119,,,,,0.821,,,,,,,,,,,,,0.7498,,,,,0.7398,,,,0.7398
120,,,,,0.8396,,,,,,,,,,,,,0.7518,,,,,0.7688,,,,0.7932
121,,,,,0.8292,,,,,,,,,,,,,0.7456,,,,,0.723,,,,0.8046
122,,,,,0.8434,,,,,,,,,,,,,0.7404,,,,,0.6834,,,,0.776
123,,,,,0.8298,,,,,,,,,,,,,0.7362,,,,,0.7874,,,,0.7926
124,,,,,0.8334,,,,,,,,,,,,,0.7658,,,,,0.7764,,,,0.7722
125,,,,,0.812,,,,,,,,,,,,,0.7732,,,,,0.785,,,,0.7968
126,,,,,0.827,,,,,,,,,,,,,0.7594,,,,,0.7424,,,,0.8158
127,,,,,0.829,,,,,,,,,,,,,0.7868,,,,,0.7864,,,,0.8214
128,,,,,0.8554,,,,,,,,,,,,,0.7988,,,,,0.739,,,,0.7714
129,,,,,0.8632,,,,,,,,,,,,,0.7852,,,,,0.8062,,,,0.8238
130,,,,,0.8692,,,,,,,,,,,,,0.7864,,,,,0.7796,,,,0.8
131,,,,,0.8692,,,,,,,,,,,,,0.7866,,,,,0.3282,,,,0.7866
132,,,,,0.8724,,,,,,,,,,,,,0.7746,,,,,0.6242,,,,0.8166
133,,,,,0.8572,,,,,,,,,,,,,0.7738,,,,,0.7848,,,,0.7866
134,,,,,0.8224,,,,,,,,,,,,,0.7582,,,,,0.7966,,,,0.8114
135,,,,,0.812,,,,,,,,,,,,,0.8024,,,,,0.6214,,,,0.7828
136,,,,,0.853,,,,,,,,,,,,,0.8136,,,,,0.6882,,,,0.794
137,,,,,0.8596,,,,,,,,,,,,,0.8102,,,,,0.5728,,,,0.7254
138,,,,,0.8556,,,,,,,,,,,,,0.7856,,,,,0.6652,,,,0.8028
139,,,,,0.2564,,,,,,,,,,,,,0.8042,,,,,0.835,,,,0.8166
140,,,,,0.8248,,,,,,,,,,,,,0.7764,,,,,0.837,,,,0.8208
141,,,,,0.8346,,,,,,,,,,,,,0.7568,,,,,0.842,,,,0.8066
142,,,,,0.8342,,,,,,,,,,,,,0.7386,,,,,0.7986,,,,0.816
143,,,,,0.8266,,,,,,,,,,,,,0.6942,,,,,0.8274,,,,0.771
144,,,,,0.8052,,,,,,,,,,,,,0.7274,,,,,0.7588,,,,0.8066
145,,,,,0.8064,,,,,,,,,,,,,0.7154,,,,,0.712,,,,0.8182
146,,,,,0.7022,,,,,,,,,,,,,0.7802,,,,,0.822,,,,0.8284
147,,,,,0.8324,,,,,,,,,,,,,0.822,,,,,0.8444,,,,0.8436
148,,,,,0.8408,,,,,,,,,,,,,0.8002,,,,,0.8474,,,,0.8506
149,,,,,0.8338,,,,,,,,,,,,,0.808,,,,,0.847,,,,0.8108
150,,,,,0.8296,,,,,,,,,,,,,0.7976,,,,,0.8458,,,,0.5862
151,,,,,0.8276,,,,,,,,,,,,,0.8372,,,,,0.854,,,,0.7724
152,,,,,0.8256,,,,,,,,,,,,,0.7984,,,,,0.8578,,,,0.5692
153,,,,,0.8394,,,,,,,,,,,,,0.8044,,,,,0.8212,,,,0.8488
154,,,,,0.8522,,,,,,,,,,,,,0.8018,,,,,0.8512,,,,0.852
155,,,,,0.858,,,,,,,,,,,,,0.809,,,,,0.7204,,,,0.8426
156,,,,,0.8374,,,,,,,,,,,,,0.8308,,,,,0.8516,,,,0.8516
157,,,,,0.8198,,,,,,,,,,,,,0.7242,,,,,0.8448,,,,0.8508
158,,,,,0.8444,,,,,,,,,,,,,0.6116,,,,,0.8334,,,,0.8556
159,,,,,0.8308,,,,,,,,,,,,,0.744,,,,,0.7478,,,,0.8776
160,,,,,0.8504,,,,,,,,,,,,,0.841,,,,,0.77,,,,0.857
161,,,,,0.848,,,,,,,,,,,,,0.8374,,,,,0.8588,,,,0.8724
162,,,,,0.8554,,,,,,,,,,,,,0.8368,,,,,0.6182,,,,0.869
163,,,,,0.844,,,,,,,,,,,,,0.8024,,,,,0.6906,,,,0.869
164,,,,,0.8714,,,,,,,,,,,,,0.7588,,,,,0.8256,,,,0.8648
165,,,,,0.8154,,,,,,,,,,,,,0.7972,,,,,0.8146,,,,0.8688
