,loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay,logdir
89,0.0013170611447301,0.815632183908046,50,32,64,64,0.000150103580315907,0.000145143028827836,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00089_89_h1=32,h2=64,h3=64,lr=0.0002,weight_decay=0.0001_2023-03-01_10-39-28"
36,0.0011123040626788,0.794942528735632,50,8,12,16,0.0557650545622416,1.97917627197118E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00036_36_h1=8,h2=12,h3=16,lr=0.0558,weight_decay=0.0000_2023-03-01_10-34-47"
44,0.0014727186882632,0.793103448275862,50,12,32,64,0.000117338813903414,6.53740611393689E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00044_44_h1=12,h2=32,h3=64,lr=0.0001,weight_decay=0.0000_2023-03-01_10-34-53"
57,0.0011994185666928,0.788965517241379,50,12,0,128,0.0524120363599913,0.000224866393547823,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00057_57_h1=12,h2=0,h3=128,lr=0.0524,weight_decay=0.0002_2023-03-01_10-36-39"
26,0.0013120961737358,0.785747126436782,50,8,16,128,0.000180170948059874,8.65255305089006E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00026_26_h1=8,h2=16,h3=128,lr=0.0002,weight_decay=0.0000_2023-03-01_10-33-33"
73,0.001465019768682,0.782988505747126,50,32,12,64,0.000119316971240767,7.3232898481461E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00073_73_h1=32,h2=12,h3=64,lr=0.0001,weight_decay=0.0000_2023-03-01_10-38-12"
31,0.0015581705104345,0.742528735632184,50,8,16,16,0.000106609805717984,0.000310540721180654,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00031_31_h1=8,h2=16,h3=16,lr=0.0001,weight_decay=0.0003_2023-03-01_10-33-36"
5,0.001561257976225,0.64551724137931,50,16,12,32,0.000101323382835298,0.000338219916728984,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00005_5_h1=16,h2=12,h3=32,lr=0.0001,weight_decay=0.0003_2023-03-01_10-31-41"
80,0.0015907205658397,0.612413793103448,50,32,16,16,2.40318866495648E-05,0.00015532031687493,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00080_80_h1=32,h2=16,h3=16,lr=0.0000,weight_decay=0.0002_2023-03-01_10-39-06"
45,0.0015312480926513,0.611954022988506,50,12,16,32,0.000113918694849289,2.94913625325842E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00045_45_h1=12,h2=16,h3=32,lr=0.0001,weight_decay=0.0000_2023-03-01_10-34-53"
